race_id_16,馬番,馬名,美咲印,美咲順位,美咲_勝率,美咲_連対率
2026081604020802,14,アルティマローネ,○,2,53.79086770976214,57.95833459671299
2026081604020802,5,ベルトラッキ,▲,3,47.87839741241278,53.371477384132206
2026081604020802,8,コンティ,△,4,50.15091930643914,51.48125894905073
2026081604020802,12,ゴールドエンバー,×,5,47.75337913109341,51.21609774768431
2026081604020802,3,サヴマ,注,6,43.82802912200353,48.104028572658244
2026081604020802,7,ラウターユーベル,☆,7,40.476825033062,45.21935273200188
2026081604020802,2,ノブステップ,,8,34.34346080253101,37.315590218047475
2026081604020802,6,アイスアイスベイビ,,9,33.49398942769058,36.69477148745931
2026081604020802,10,フライングビーナス,,10,34.454226151335135,35.817500167472794
2026081604020802,11,シャリキモン,,11,33.31213929768287,35.38956930736209
2026081604020802,1,アグアフレスカ,,12,28.935070115182494,32.045246708980514
2026081604020802,13,ヨーゼフ,,13,29.134575483705795,30.634370580993664
2026081604020802,16,メジロピオラ,,14,26.090044856177187,29.071170331037443
2026081604020802,4,レイランディ,,15,21.967250256855724,26.429206283840344
2026081604020802,17,コスモメイウェザー,,16,22.897379550782702,24.439245540642293
2026081604020802,9,ノアソノマ,,17,21.08242533655297,23.575473334308825
2026081604020803,6,アレックスケー,◎,1,60.51967443223678,62.630801853664344
2026081604020803,1,サザンヴィターレ,○,2,50.58224852050669,53.552005140037004
2026081604020803,10,マリノエスプレッソ,▲,3,49.24977128205414,51.11767596500195
2026081604020803,14,リコルディオーロ,△,4,49.110895330073475,51.05640920016017
2026081604020803,8,イリスロッソ,×,5,48.179499922970805,50.42662335240681
2026081604020803,7,キュータンチャン,注,6,40.307333800490106,45.013037143829884
2026081604020803,3,ラキアーヴェ,☆,7,42.866946575705775,41.11626048918291
2026081604020803,5,パルセノスミハ,,8,42.150284712349944,38.98614262852742
2026081604020803,4,セイウンガジュマル,,9,36.72523380815554,38.8968423969505
2026081604020803,15,アップルザビート,,10,36.88300203310334,36.521899476718964
2026081604020803,2,ラヴァブルロマン,,11,35.84464869673773,34.547903653580434
2026081604020803,9,ブラボーワン,,12,37.25905484123751,34.270295699219346
2026081604020803,13,アイアムキレマスネ,,13,30.753154591356687,33.149832919614255
2026081604020803,11,エリンヘラクレス,,14,30.221884988638813,32.8444635313204
2026081604020803,12,レオライジング,,15,31.54227382872709,31.60629734562811
2026081604020804,11,マルスレジーナ,◎,1,42.61379512738231,46.52413903514269
2026081604020804,9,トップレイアー,○,2,40.6408750025048,45.66888457580445
2026081604020804,7,ダノンアズール,▲,3,39.60850600930419,43.8708659547111
2026081604020804,4,ロインクロス,△,4,39.4730149744873,42.31083293646298
2026081604020804,1,アルティシモ,×,5,37.75360705589588,41.92386087042138
2026081604020804,12,リアスブルー,注,6,38.819708245983726,41.72254332688671
2026081604020804,10,パープルタウン,☆,7,35.55399889893901,41.70219809468121
2026081604020804,2,ビップラージャ,,8,37.34460818866023,40.582046512470896
2026081604020804,13,コスモデュアリズム,,9,35.31240108775351,39.23027785038383
2026081604020804,6,リキマル,,10,34.890824755661335,39.01628755171384
2026081604020804,3,ラヴレイン,,11,33.75918539810899,38.54716183188552
2026081604020804,8,ノーブルミント,,12,35.89241765496044,38.41990261598844
2026081604020804,5,ヨドノプレミアム,,13,34.06766964041194,37.553318069529816
2026081604020805,6,ダノンファンスター,◎,1,60.3786754709206,63.425402522995746
2026081604020805,10,キシダンチョウ,○,2,55.67133368569842,60.36607138796922
2026081604020805,11,カザンラク,▲,3,52.94015189782842,59.39983408656212
2026081604020805,9,コスモキャバリエ,△,4,50.63828070762977,52.044518765064836
2026081604020805,8,コーディアリー,×,5,45.42142866768899,51.80979079869559
2026081604020805,12,デイジー,注,6,38.111690137805724,43.789236006758706
2026081604020805,4,モントゥリエ,☆,7,41.729296903428626,42.09389721233757
2026081604020805,2,ビルバンテ,,8,37.29574852351836,40.65088837415154
2026081604020805,5,ショウナンダイン,,9,32.679508691070524,34.49981382470891
2026081604020805,3,クモヒトツナイ,,10,28.951019208070996,33.19582922183433
2026081604020805,1,ペプロス,,11,26.033818358071407,31.40320280528512
2026081604020805,7,ケイツールピア,,12,23.11777983036835,28.361188804509617
2026081604020806,5,エコロジーク,◎,1,40.787353617994484,46.384761738300135
2026081604020806,6,ベイビーキッス,○,2,45.41483756016274,46.29372447795023
2026081604020806,8,カウスリップ,▲,3,34.99680393858216,41.03925486003458
2026081604020806,9,メイショウキルギス,△,4,34.73311822296259,38.494964845998005
2026081604020806,10,クールベイビー,×,5,31.426085639366345,36.31804009512826
2026081604020806,3,スコーピオン,注,6,29.229453776716024,31.293791359844214
2026081604020806,4,ショウナンラスボス,☆,7,28.43917464436988,30.448169340165272
2026081604020806,13,トールキン,,8,28.76477976021638,30.384316452645805
2026081604020806,2,リュウノタブーク,,9,25.853055859216244,29.48198328004727
2026081604020806,12,ポッドソル,,10,23.538163366690995,28.660945817458277
2026081604020806,7,クーデール,,11,29.024267125054585,28.06283199176595
2026081604020806,11,モーデン,,12,21.512106385251464,25.06563168464504
