レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010408,未勝利,11:30,３歳,芝,2000,4,8,, フローレンスフーガ,牡,3,古川吉洋, 57 ,5,122.24,9,58.6,7, 0.79,17.3,,,,,11.6,未勝利,4,12,003,,2023101000,3,(栗),四位洋文,栗東,白井牧場,日高町,フィエールマン,フローレンスガール,"El Corredor"
202608220102010409,未勝利,11:30,３歳,芝,2000,5,9,, サトノリアファル,牡,3,横山和生, 57 ,5,121.69,2,59.3,6, 0.24,16.6,,,,,6.0,未勝利,4,12,003,,2023105260,3,(美),古賀慎明,美浦,社台ファーム,千歳市,ダノンキングリー,レッドマニッシュ,シンボリクリスエス
202608220102010410,未勝利,11:30,３歳,芝,2000,5,10,, マンサニージャ,牝,3,丹内祐次, 55 ,10,121.78,6,61.1,5, 0.33,14.8,,,,,15.1,未勝利,4,12,003,,2023106411,3,(美),菊川正達,美浦,荻伏三好フアーム,浦河町,ダノンバラード,マイネアロマ,ロージズインメイ
202608220102010411,未勝利,11:30,３歳,芝,2000,6,11,, コワンニシタガウ,牡,3,武豊, 57 ,6,121.72,3,65.3,4, 0.27,10.6,,,,,11.3,未勝利,4,12,003,,2023104216,3,(栗),庄野靖志,栗東,大栄牧場,新冠町,スワーヴリチャード,ロウカム,"Distorted Humor"
202608220102010412,未勝利,11:30,３歳,芝,2000,6,12,, ブライスフェアリー,牝,3,松山弘平, 55 ,10,121.45,1,74.1,2,-0.24, 1.8,,,,,16.0,未勝利,4,12,003,,2023105892,3,(美),堀内岳志,美浦,コスモヴューファーム,新冠町,ウインブライト,メジロフォーナ,ナリタトップロード
202608220102010413,未勝利,11:30,３歳,芝,2000,7,13,, ケナゲ,牝,3,河原田菜,51★,12,122.75,14,56.9,8, 1.30,19.0,,,,,15.6,未勝利,4,12,003,,2023102166,3,(美),和田雄二,美浦,日本中央競馬会日高育成牧場,浦河町,アニマルキングダム,レディバゴ,バゴ
202608220102010414,未勝利,11:30,３歳,芝,2000,7,14,, クルサール,牝,3,川又賢治, 55 ,2,122.53,11,27.3,15, 1.08,48.6,,,,,125.4,未勝利,4,12,003,,2023105004,3,(栗),武英智,栗東,三嶋牧場,浦河町,コントレイル,オペラデイム,"Medaglia d'Oro"
202608220102010415,未勝利,11:30,３歳,芝,2000,8,15,, コティノス,牡,3,フーリー, 57 ,7,122.97,16,34.0,13, 1.52,41.9,,,,,20.6,未勝利,4,12,003,,2023106800,3,(栗),須貝尚介,栗東,社台コーポレーション白老ファーム,白老町,サートゥルナーリア,ココファンタジア,ステイゴールド
202608220102010416,未勝利,11:30,３歳,芝,2000,8,16,, カタカムナ,牝,3,原田和真, 55 ,6,122.10,8,43.7,9, 0.65,32.2,,,,,118.8,未勝利,4,12,003,,2023102381,3,(美),蛯名利弘,美浦,岡田スタツド,新ひだか町,サトノクラウン,ジョイズエターナル,ディープブリランテ
202608220102010501,新馬,12:20,２歳,芝,1500,1,1,, ノヴァカーラ,牡,2,ヘルナン, 55 ,0,92.17,13,40.2,12, 3.80,26.4,,,,,15.9,新馬,5,11,003,,2024104095,3,(美),小島茂之,美浦,岡田スタツド,新ひだか町,ゴールドシップ,アステルカーラ,カレンブラックヒル
